Created At,type,User Name,NumFollowers,NumRetweets,NumFavorites,NumReplies,statusID,link
2019-02-14 21:01:17 CST-0600,healthcare,EPICSys,907,0,0,0,1096152422119100422,https://twitter.com/EPICSys/status/1096152422119100422
2019-02-14 18:45:23 CST-0600,healthcare,EPICSys,907,0,0,0,1096118220937940992,https://twitter.com/EPICSys/status/1096118220937940992
2019-02-13 18:00:56 CST-0600,healthcare,EPICSys,907,0,0,0,1095744648042237958,https://twitter.com/EPICSys/status/1095744648042237958
2019-02-12 18:00:17 CST-0600,healthcare,EPICSys,907,0,0,0,1095382095826952192,https://twitter.com/EPICSys/status/1095382095826952192
2019-02-07 21:01:15 CST-0600,healthcare,EPICSys,907,0,0,0,1093615696091717632,https://twitter.com/EPICSys/status/1093615696091717632
2019-02-07 18:45:18 CST-0600,healthcare,EPICSys,907,0,0,0,1093581485129588743,https://twitter.com/EPICSys/status/1093581485129588743
2019-02-06 18:01:02 CST-0600,healthcare,EPICSys,907,0,0,0,1093207959126052864,https://twitter.com/EPICSys/status/1093207959126052864
2019-02-05 18:00:20 CST-0600,healthcare,EPICSys,907,0,0,0,1092845392717324288,https://twitter.com/EPICSys/status/1092845392717324288
2019-01-31 18:45:17 CST-0600,healthcare,EPICSys,907,0,1,0,1091044767847378946,https://twitter.com/EPICSys/status/1091044767847378946
2019-01-30 18:01:12 CST-0600,healthcare,EPICSys,907,0,0,0,1090671283354955776,https://twitter.com/EPICSys/status/1090671283354955776
2019-01-29 20:00:32 CST-0600,healthcare,EPICSys,907,0,0,0,1090338928597655557,https://twitter.com/EPICSys/status/1090338928597655557
2019-01-24 18:01:11 CST-0600,healthcare,EPICSys,907,0,0,0,1088496952688427008,https://twitter.com/EPICSys/status/1088496952688427008
2019-01-22 18:24:32 CST-0600,healthcare,EPICSys,907,0,0,0,1087778054989066241,https://twitter.com/EPICSys/status/1087778054989066241
2019-01-17 18:01:19 CST-0600,healthcare,EPICSys,907,0,0,0,1085960273335328769,https://twitter.com/EPICSys/status/1085960273335328769
2019-01-15 18:01:00 CST-0600,healthcare,EPICSys,907,0,0,0,1085235417472008193,https://twitter.com/EPICSys/status/1085235417472008193
2019-01-11 19:01:29 CST-0600,healthcare,EPICSys,907,0,1,0,1083801084462813184,https://twitter.com/EPICSys/status/1083801084462813184
2019-01-09 16:00:54 CST-0600,healthcare,EPICSys,907,0,0,0,1083030865603645440,https://twitter.com/EPICSys/status/1083030865603645440
2019-01-08 19:00:44 CST-0600,healthcare,EPICSys,907,0,1,0,1082713732684361730,https://twitter.com/EPICSys/status/1082713732684361730
2019-01-04 19:00:40 CST-0600,healthcare,EPICSys,907,0,0,0,1081264164818075650,https://twitter.com/EPICSys/status/1081264164818075650
2019-01-03 21:00:19 CST-0600,healthcare,EPICSys,907,0,0,0,1080931887152054274,https://twitter.com/EPICSys/status/1080931887152054274
2019-01-03 17:20:47 CST-0600,healthcare,EPICSys,907,0,0,0,1080876639326621702,https://twitter.com/EPICSys/status/1080876639326621702
2018-12-21 15:01:25 CST-0600,healthcare,EPICSys,907,0,0,0,1076130525365063681,https://twitter.com/EPICSys/status/1076130525365063681
2018-12-20 18:01:33 CST-0600,healthcare,EPICSys,907,1,1,0,1075813470136868865,https://twitter.com/EPICSys/status/1075813470136868865
2018-12-18 16:01:00 CST-0600,healthcare,EPICSys,907,0,0,0,1075058355507482625,https://twitter.com/EPICSys/status/1075058355507482625
2018-12-14 15:01:29 CST-0600,healthcare,EPICSys,907,0,0,0,1073593827489927168,https://twitter.com/EPICSys/status/1073593827489927168
2018-12-12 17:01:46 CST-0600,healthcare,EPICSys,907,0,1,0,1072899321518014465,https://twitter.com/EPICSys/status/1072899321518014465
2018-12-10 19:00:53 CST-0600,healthcare,EPICSys,907,0,1,0,1072204523047972866,https://twitter.com/EPICSys/status/1072204523047972866
2018-12-07 15:01:34 CST-0600,healthcare,EPICSys,907,0,0,0,1071057134878683137,https://twitter.com/EPICSys/status/1071057134878683137
2018-12-05 17:01:09 CST-0600,healthcare,EPICSys,907,0,0,0,1070362452624375809,https://twitter.com/EPICSys/status/1070362452624375809
2018-12-04 19:00:37 CST-0600,healthcare,EPICSys,907,0,0,0,1070030128942645248,https://twitter.com/EPICSys/status/1070030128942645248
2018-11-30 15:01:45 CST-0600,healthcare,EPICSys,907,0,2,0,1068520464606101505,https://twitter.com/EPICSys/status/1068520464606101505
2018-11-29 17:01:21 CST-0600,healthcare,EPICSys,907,0,0,0,1068188173623353351,https://twitter.com/EPICSys/status/1068188173623353351
2018-11-27 17:30:38 CST-0600,healthcare,EPICSys,907,0,0,0,1067470768139894784,https://twitter.com/EPICSys/status/1067470768139894784
2018-11-26 20:09:45 CST-0600,healthcare,EPICSys,907,0,0,0,1067148422019514373,https://twitter.com/EPICSys/status/1067148422019514373
2018-11-21 21:00:15 CST-0600,healthcare,EPICSys,907,0,0,0,1065349194628694018,https://twitter.com/EPICSys/status/1065349194628694018
2018-11-21 19:55:07 CST-0600,healthcare,EPICSys,907,0,0,0,1065332802101620745,https://twitter.com/EPICSys/status/1065332802101620745
2018-11-20 19:30:10 CST-0600,healthcare,EPICSys,907,0,0,0,1064964135857860608,https://twitter.com/EPICSys/status/1064964135857860608
2018-11-16 16:01:14 CST-0600,healthcare,EPICSys,907,0,0,0,1063462003539349505,https://twitter.com/EPICSys/status/1063462003539349505
2018-11-15 19:01:55 CST-0600,healthcare,EPICSys,907,0,0,0,1063145085729206272,https://twitter.com/EPICSys/status/1063145085729206272
2018-11-14 18:01:31 CST-0600,healthcare,EPICSys,907,0,0,0,1062767497441632257,https://twitter.com/EPICSys/status/1062767497441632257
2018-11-13 18:00:58 CST-0600,healthcare,EPICSys,907,0,0,0,1062404970161623041,https://twitter.com/EPICSys/status/1062404970161623041
2018-11-12 18:57:57 CST-0600,healthcare,EPICSys,907,0,0,1,1062056925448171520,https://twitter.com/EPICSys/status/1062056925448171520
2018-11-12 14:25:15 CST-0600,healthcare,EPICSys,907,0,0,1,1061988296165863424,https://twitter.com/EPICSys/status/1061988296165863424
2018-11-12 14:24:29 CST-0600,healthcare,EPICSys,907,0,3,4,1061988105664770049,https://twitter.com/EPICSys/status/1061988105664770049
2018-11-12 14:23:12 CST-0600,healthcare,EPICSys,907,0,0,1,1061987781721948161,https://twitter.com/EPICSys/status/1061987781721948161
2018-11-09 16:01:37 CST-0600,healthcare,EPICSys,907,0,0,0,1060925386916331520,https://twitter.com/EPICSys/status/1060925386916331520
2018-11-08 17:01:09 CST-0600,healthcare,EPICSys,907,0,0,0,1060577978936147969,https://twitter.com/EPICSys/status/1060577978936147969
2018-11-07 20:30:40 CST-0600,healthcare,EPICSys,907,0,0,0,1060268316349136896,https://twitter.com/EPICSys/status/1060268316349136896
2018-11-06 22:00:33 CST-0600,healthcare,EPICSys,907,1,0,0,1059928551116496897,https://twitter.com/EPICSys/status/1059928551116496897
2018-11-06 21:50:13 CST-0600,healthcare,EPICSys,907,0,2,1,1059925949549105154,https://twitter.com/EPICSys/status/1059925949549105154
2018-11-06 21:49:43 CST-0600,healthcare,EPICSys,907,0,0,1,1059925823057264642,https://twitter.com/EPICSys/status/1059925823057264642
2018-11-06 21:47:57 CST-0600,healthcare,EPICSys,907,0,0,1,1059925379920617477,https://twitter.com/EPICSys/status/1059925379920617477
2018-11-06 20:00:19 CST-0600,healthcare,EPICSys,907,0,0,0,1059898293415751681,https://twitter.com/EPICSys/status/1059898293415751681
2018-11-02 15:01:00 CDT-0500,healthcare,EPICSys,907,0,0,0,1058373414120054784,https://twitter.com/EPICSys/status/1058373414120054784
2018-11-01 18:00:55 CDT-0500,healthcare,EPICSys,907,0,0,0,1058056306786033664,https://twitter.com/EPICSys/status/1058056306786033664
2018-11-01 16:06:44 CDT-0500,healthcare,EPICSys,907,0,0,0,1058027571416326149,https://twitter.com/EPICSys/status/1058027571416326149
2018-10-30 20:00:20 CDT-0500,healthcare,EPICSys,907,0,2,0,1057361581028360197,https://twitter.com/EPICSys/status/1057361581028360197
2018-10-29 15:11:55 CDT-0500,healthcare,EPICSys,907,0,0,0,1056926612103544834,https://twitter.com/EPICSys/status/1056926612103544834
2018-10-26 15:02:16 CDT-0500,healthcare,EPICSys,907,0,0,0,1055837017446195200,https://twitter.com/EPICSys/status/1055837017446195200
2019-04-16 19:28:12 CDT-0500,healthcare,CVSHealth,44357,4,9,0,1118234656422363141,https://twitter.com/CVSHealth/status/1118234656422363141
2019-04-16 19:05:08 CDT-0500,healthcare,CVSHealth,44357,1,1,0,1118228850952028161,https://twitter.com/CVSHealth/status/1118228850952028161
2019-04-16 17:15:04 CDT-0500,healthcare,CVSHealth,44357,1,1,0,1118201151877459971,https://twitter.com/CVSHealth/status/1118201151877459971
2019-04-16 14:15:05 CDT-0500,healthcare,CVSHealth,44357,4,10,0,1118155858880417793,https://twitter.com/CVSHealth/status/1118155858880417793
2019-04-16 13:02:06 CDT-0500,healthcare,CVSHealth,44357,5,7,0,1118137490601316353,https://twitter.com/CVSHealth/status/1118137490601316353
2019-04-15 19:01:29 CDT-0500,healthcare,CVSHealth,44357,0,4,0,1117865546291265536,https://twitter.com/CVSHealth/status/1117865546291265536
2019-04-15 17:25:05 CDT-0500,healthcare,CVSHealth,44357,2,4,0,1117841287091228673,https://twitter.com/CVSHealth/status/1117841287091228673
2019-04-15 14:22:05 CDT-0500,healthcare,CVSHealth,44357,0,0,1,1117795229870981122,https://twitter.com/CVSHealth/status/1117795229870981122
